Job Title,Organization,City,Area / Town,Vacancy Location,Category / Sector,Job Type,Education,Min Experience (Years),Gender,No. of Positions,Positions Open Ended,Salary Min (PKR),Salary Max (PKR),Salary Avg (PKR),Date Posted,Expected Last Date,Days Available,Posting Month,Posting Year,Posting Weekday,Newspaper,Apply Online,Job Link,Description
Latest Jobs 2023 for IT Officers,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Temporary,MIT,,Not Specified,,False,,,,2023-05-21,2023-06-06,16.0,May,2023,Sunday,The News Jobs,Upload CV,https://www.jobz.pk/latest-jobs-2023-for-it-officers_jobs-549877.html,"Latest Private Company IT Posts Lahore 2026Private Company invites applications for job positions advertised in daily The News dated 21 May 2023 for following vacancies in Lahore, lahore Punjab Pakistan.it officersPersons with MIT etc. education can apply.Private Company latest Private IT jobs and others can be applied till 6 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Latest Jobs 2023 for IT Officers,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Temporary,MIT,,Not Specified,,False,,,,2023-05-21,2023-06-06,16.0,May,2023,Sunday,The News Jobs,Upload CV,https://www.jobz.pk/latest-jobs-2023-for-it-officers_jobs-549876.html,"Latest Private Company IT Posts Lahore 2026Private Company invites applications for job positions advertised in daily The News dated 21 May 2023 for following vacancies in Lahore, lahore Punjab Pakistan.it officersPersons with MIT etc. education can apply.Private Company latest Private IT jobs and others can be applied till 6 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
IT Officer Jobs 2023 in Lahore,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Temporary,MIT,,Not Specified,,False,,,,2023-05-21,2023-06-05,15.0,May,2023,Sunday,The News Jobs,Upload CV,https://www.jobz.pk/it-officer-jobs-2023-in-lahore_jobs-549852.html,"Latest Private Company IT Posts Lahore 2026Private Company jobs advertisement dated about 21 May 2023 in daily The News Newspaper invites application for the vacant post of it officer in Lahore, lahore Punjab Pakistan. Educational qualifications required MIT etc.Private Company latest Private IT jobs and others can be applied till June 5, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
IT Officer job at Private Company,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Full Time,Bachelor|Master|BIT|MIT,2.0,Not Specified,,False,,,,2023-05-21,2023-06-05,15.0,May,2023,Sunday,Nawaiwaqt Jobs,Upload CV,https://www.jobz.pk/it-officer-job-at-private-company_jobs-549752.html,"Latest Private Company IT Posts Lahore 2026Private Company Lahore, lahore Punjab Pakistan invites applications from eligible candidates for the post of it officer as per advertisement of May 21, 2023 published in daily Nawaiwaqt Newspaper. Preferred Education is Bachelor, MIT, BIT and Master etc.Private Company latest Private IT jobs and others can be applied till June 5, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Seo Manager,Carpediem Team,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Direct Office Jobs,Full Time,Bachelor,2.0,Not Specified,3.0,False,70000.0,125000.0,97500.0,2023-05-20,2023-09-19,,May,2023,Saturday,Not Mentioned,Upload CV,https://www.jobz.pk/seo-manager_jobs-549592.html,"Latest CarpeDiem Team IT Posts Karachi 2026Carpe Diem Team is looking for full time SEO Managers to join us.Salary Range PKR. 75,000 - PKR 120,000Age: 28 and aboveExperience: min. 3-4 yearsPositions Available: 03Skills Required:Proven experience as SEO Manager, SEM Manager or similar roleExperience working with tools like SEMrush, Ahrefs, Grammarly, Jasper Ai and web analytics tools e.g. Google Analytics, WebTrendsGood Luck!For more jobsregisterwithJobz.pk.Skills RequiredGoogle AnalyticsSEOAnalytics"
Software Engineer,Carpediem Team,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Direct Office Jobs,Full Time,Bachelor,3.0,Not Specified,,False,100000.0,150000.0,125000.0,2023-05-17,2023-09-15,,May,2023,Wednesday,Not Mentioned,Upload CV,https://www.jobz.pk/software-engineer_jobs-549183.html,"Latest CarpeDiem Team IT Posts Karachi 2026Carpe Diem Team is looking for full time Software Engineers to join us.Salary Range: PKR 100,000 - 150,000Experience: min. 2-3 yearsPositions Available: 03Requirements:Strong command on- PHP- Javascript / jQuery- Laravel- MySQL/ MongoDB- Vue.jsFor more jobsregisterwithJobz.pk.Skills RequiredCakePHPDatabase AdministrationJavascriptJQuery / PrototypeMySQLPHP"
Social Media Manager,Carpediem Team,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Direct Office Jobs,Full Time,Bachelor,2.0,Not Specified,3.0,False,45000.0,60000.0,52500.0,2023-05-15,2023-09-13,,May,2023,Monday,Not Mentioned,Upload CV,https://www.jobz.pk/social-media-manager_jobs-548902.html,"Latest CarpeDiem Team IT Posts Karachi 2026Carpe Diem Team is looking for Social Media Manager- Salary: 45k - 65k- Experience: 3- 4 years of relevant experiencePositions Available: 05Key Responsibilities:- Develop and implement organic social strategy and guidelines- Be a steward of excellent messaging, grammar, and writing.- Stay on top of industry trends and tools in the social media space.- Be a wiz at creating interesting and fun social media content.- Must be able to create high quality Instagram stories, Reels, TikToks, tweets, and more quickly and with strong attention to detail.- Lead the Social Media team and work collaboratively and cross-functionally to brainstorm and lay out content calendars.- Monitor and report on performance to make necessary changes to grow social media audiences.Location: Work from home / Remote JobCandidates from any city are encouraged to applyGood LuckFor more jobsregisterwithJobz.pk.Skills RequiredDigital Product DesignSocial Networking"
Jang Sunday Classified Ads 14 May 2023 for IT Staff,It Company,Multan,Not Mentioned,"Multan, Punjab, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BCS|BIT|BS|ICS,,Not Specified,,False,,,,2023-05-15,2023-06-27,43.0,May,2023,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-14-may-2023-for-it-staff_jobs-548796.html,"Latest IT Company IT Posts Multan 2026IT Company is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of May 15, 2023 for location Multan, multan Punjab Pakistan:computer operator and web developerPersons with BIT, BCS, Intermediate and Bachelor etc. education can apply.IT Company latest Classifieds IT jobs and others can be applied till June 27, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Skills in Computer Support, Web Designing and Web Development may be preferred for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredWeb DevelopmentComputer SupportWeb Designing"
Dawn Sunday Classified Ads 14 May 2023 for Computer Staff,It Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BS|ICS,,Not Specified,,False,,,,2023-05-15,2023-06-27,43.0,May,2023,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-14-may-2023-for-computer-staff_jobs-548748.html,"Latest IT Company IT Posts Karachi 2026IT Company jobs advertisement dated about 15 May 2023 in daily Dawn Newspaper invites application for the vacant post of php developer, amazon expert, software supervisor and it supervisor in Karachi, karachi Sindh Pakistan. Educational qualifications required Intermediate and Bachelor etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 27 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Skills in Web Development, PHP, Amazon, API and Backend Development may be preferred for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredPHPWeb DevelopmentBackend DevelopmentAPIAmazon"
Jang Sunday Classified Ads 14 May 2023 for Computer Staff,It Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BA|BCS|DAE|BS|ICS,,Not Specified,,False,,,,2023-05-15,2023-06-27,43.0,May,2023,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-14-may-2023-for-computer-staff_jobs-548663.html,"Latest IT Company IT Posts Karachi 2026IT Company is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of May 15, 2023 for location Karachi, karachi Sindh Pakistan:social media promotion officergraphic designermarketing officer and social media marketing expertPreferred Education is Bachelor, DAE, BA, Intermediate and BCS etc.Apply at IT Company latest Classifieds jobs in IT and departments before closing date which is around June 27, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. eCommerce, Urdu Typing, Typing, Marketing, Social Media Marketing, Web Page Writer and Graphic Design skills may beneficial for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredSocial Media MarketingGraphic DesignTypingUrdu TypingWeb Page WriterECommerceMarketing"
Progressive Group of Companies IT Staff Jobs 2023,Progressive Group Of Companies,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Private,Full Time,Bachelor|Master|BS,2.0,Not Specified,,False,,,,2023-05-14,2023-05-17,3.0,May,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/progressive-group-of-companies-it-staff-jobs-2023_jobs-548580.html,"Latest Progressive Group Of Companies IT Posts Karachi 2026Progressive Group Of Companies Karachi, karachi Sindh Pakistan invites applications from eligible candidates for the post of php developer, network administrator, systems administrator and system support executive as per advertisement of May 14, 2023 published in daily Jang Newspaper. Preferred Education is Bachelor and Master etc.Latest IT jobs and others Private jobs in Progressive Group Of Companies closing date is around May 17, 2023, see exact from ad. Read complete ad online to know how to apply onlatest Progressive Group Of Companies job opportunities.For more jobsregisterwithJobz.pk."
Content Coordinator Jobs in Private Company,Private Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Private,Full Time,Bachelor|Master,2.0,Not Specified,,False,,,,2023-05-14,2023-05-30,16.0,May,2023,Sunday,Dawn Jobs,Upload CV,https://www.jobz.pk/content-coordinator-jobs-in-private-company_jobs-548328.html,"Latest Private Company IT Posts Karachi 2026Private Company Karachi, karachi Sindh Pakistan invites applications from eligible candidates for the post of content coordinator as per advertisement of May 14, 2023 published in daily Dawn Newspaper. Preferred Education is Bachelor and Master etc.Private Company latest Private IT jobs and others can be applied till 30 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Seo Manager,Carpediem Team,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Direct Office Jobs,Full Time,Bachelor,4.0,Male,,False,70000.0,125000.0,97500.0,2023-05-13,2023-09-12,,May,2023,Saturday,Not Mentioned,Upload CV,https://www.jobz.pk/seo-manager_jobs-548326.html,"Latest CarpeDiem Team IT Posts Karachi 2026Carpe Diem Team is looking for full time SEO Managers to join us.Salary Range PKR. 75,000 - PKR 120,000Age: 28 and aboveExperience: min. 3-4 yearsPositions Available: 03Skills Required:Proven experience as SEO Manager, SEM Manager or similar roleExperience working with tools like SEMrush, Ahrefs, Grammarly, Jasper Ai and web analytics tools e.g. Google Analytics, WebTrendsGood Luck!For more jobsregisterwithJobz.pk.Skills RequiredMS OfficeProject ManagementData Analysis"
Video Animator,Carpediem Team,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Direct Office Jobs,Full Time,Bachelor,2.0,Not Specified,2.0,False,40000.0,60000.0,50000.0,2023-05-11,2023-09-10,,May,2023,Thursday,Not Mentioned,Upload CV,https://www.jobz.pk/video-animator_jobs-548080.html,"Latest CarpeDiem Team IT Posts Karachi 2026Carpe Diem Team is looking for full time Video Animators with some serious chops in 2D animationSalary Range Market CompetitiveExperience: min. 2-3 yearsProficient in Adobe Premiere, After Effects and other design-based softwareshare your resumesGood Luck!For more jobsregisterwithJobz.pk.Skills Required3D Animation2D AnimationAnimated Video DevelopmentAdobe Photoshop"
SEO Expert,Sparking Asia,Rawalpindi,Not Mentioned,"Rawalpindi, Punjab, Pakistan",Direct Office Jobs,Other,Bachelor,,Not Specified,1.0,False,40000.0,45000.0,42500.0,2023-05-09,2023-09-08,,May,2023,Tuesday,Not Mentioned,Upload CV,https://www.jobz.pk/seo-expert_jobs-547739.html,"Latest Sparking Asia IT Posts Rawalpindi 2026Responsibilities:Developing and implementing SEO strategies to increase organic traffic.Improve search engine ranking.Conducting keyword research and analyzing competitors to identify new opportunities and potential threats.Creating and optimizing on-page content, including meta tags, headers, and imagesBuilding high-quality backlinks through outreach, partnerships, and guest bloggingMonitoring and analyzing website performance using analytics tools like Google Analytics and Search ConsoleStaying up-to-date with industry trends and algorithm updates to adjust SEO strategies accordinglyCollaborating with content creators, web developers, and other team members to improve website structure and functionalityDeveloping and managing paid search campaigns optionalQualifications:Proven experience as an SEO expert, preferably in an agency or corporate settingDeep understanding of search engine algorithms and ranking factorsProficiency in SEO tools like Ahrefs, SEMrush, and MozExcellent analytical and problem-solving skillsStrong communication and collaboration skillsFor more jobsregisterwithJobz.pk.Skills RequiredEnglish TypingMS OfficeBlog DesignBanner DesignCSSLanding PagesLogo DesignCanvaDigital Product DesignWordPress Design"
Graphic Designer required at Private Company in Lahore,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Classifieds,Full Time,Bachelor|Master,3.0,Not Specified,,False,,,,2023-05-08,2023-06-08,31.0,May,2023,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/graphic-designer-required-at-private-company-in-lahore_jobs-547416.html,"Latest Private Company IT Posts Lahore 2026Private Company is looking for candidates for following posts as per job advertisement published in daily Dawn Newspaper of May 8, 2023 for location Lahore, lahore Punjab Pakistan:graphic designerCandidates with Bachelor and Master etc. educational background will be preferred.Private Company latest Classifieds IT jobs and others can be applied till 8 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Dawn Sunday Classified Ads 7 May 2023 for Computer Staff,It Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Bachelor|BCS|BIT|BS,,Not Specified,,False,,,,2023-05-08,2023-06-17,40.0,May,2023,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-7-may-2023-for-computer-staff_jobs-547402.html,"Latest IT Company IT Posts Karachi 2026IT Company invites applications for job positions advertised in daily Dawn dated 8 May 2023 for following vacancies in Karachi, karachi Sindh Pakistan.software developer and sqa analystPreferred Education is BCS, BIT and Bachelor etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 17 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. IT Project Management, Software Development and Web Development skills may beneficial for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredWeb DevelopmentIT Project ManagementSoftware Development"
Multi Technology Private Limited Jobs 2023,Private Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Temporary,BIT|MIT|BS,,Not Specified,,False,,,,2023-05-07,2023-06-03,27.0,May,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/multi-technology-private-limited-jobs-2023_jobs-547037.html,"Latest Private Company IT Posts Lahore 2026Private Company invites applications for job positions advertised in daily Jang dated 7 May 2023 for following vacancies in Lahore, lahore Punjab Pakistan.support staff and it officerPersons with MIT and BIT etc. education can apply.Private Company latest Private IT jobs and others can be applied till 3 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Female Digital Marketer & Content Writer Jobs 2023 in Lahore,It Company,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BA|BCS|DAE|BS,,Not Specified,,False,,,,2023-05-06,2023-06-30,55.0,May,2023,Saturday,Jang Jobs,Upload CV,https://www.jobz.pk/female-digital-marketer-content-writer-jobs-2023-in-lahore_jobs-546835.html,"Latest IT Company IT Posts Lahore 2026IT Company Lahore, lahore Punjab Pakistan invites applications from eligible candidates for the post of digital marketer, female digital marketer, english literature lecturer and content writer as per advertisement of May 6, 2023 published in daily Jang Newspaper. Preferred Education is DAE, Intermediate, Bachelor, BCS and BA etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 30 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Skills in English (UK), Content Writing, Digital Marketing, Marketing and Computer Science may be preferred for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredDigital MarketingMarketingContent WritingEnglish (UK)Computer Science"
IT Support Technician jobs in Oman,Marmol Overseas Employment,Muscat,Not Mentioned,Oman,Overseas,Full Time,Intermediate|Bachelor|Others,2.0,Not Specified,,False,,,,2023-05-03,2023-06-03,31.0,May,2023,Wednesday,Express Jobs,Upload CV,https://www.jobz.pk/it-support-technician-jobs-in-oman_jobs-546415.html,"Latest Marmol Overseas Employment IT Posts Muscat 2026Marmol Overseas Employment invites applications for job positions advertised in daily Express dated 3 May 2023 for following vacancies in Muscat, muscat Oman.it support technicianPersons with Others, Bachelor and Intermediate etc. education can apply.Apply at Marmol Overseas Employment latest Overseas jobs in IT and departments before closing date which is around June 3, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Marmol Overseas Employment job opportunities.For more jobsregisterwithJobz.pk."
IT Support Officer Jobs 2023 in Oman,Marmol Overseas Employment,Muscat,Not Mentioned,Oman,Overseas,Full Time,Bachelor|BCS|BIT|BS,,Not Specified,,False,220000.0,220000.0,220000.0,2023-05-03,2023-05-10,7.0,May,2023,Wednesday,Express Jobs,Upload CV,https://www.jobz.pk/it-support-officer-jobs-2023-in-oman_jobs-546379.html,"Latest Marmol Overseas Employment IT Posts Muscat 2026Marmol Overseas Employment invites applications for job positions advertised in daily Express dated 3 May 2023 for following vacancies in Muscat, muscat Oman.it support staff and it support officerCandidates with BCS, BIT and Bachelor etc. educational background will be preferred.Marmol Overseas Employment latest Overseas IT jobs and others can be applied till 10 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Marmol Overseas Employment job opportunities. Learn today skills like Database Administration, VoIP, Digital Networking, Arduino, Ubuntu and CCTV to apply confidently on these Marmol Overseas Employment jobs. Salary varies from 220000. Earn more by overtime. Facilities like accommodation, medical and transport may be provided.For more jobsregisterwithJobz.pk.Skills RequiredVoIPCCTVArduinoUbuntuDigital NetworkingDatabase Administration"
Federal Board of Revenue FBR IT Staff Jobs 2023,Federal Board Of Revenue Fbr,Islamabad,Not Mentioned,"Islamabad, Islamabad, Pakistan",Government,Temporary,Bachelor|Master|BCS|MCS|MS|Others|BS,4.0,Not Specified,,False,,,,2023-05-02,2023-05-15,13.0,May,2023,Tuesday,Nawaiwaqt Jobs,Upload CV,https://www.jobz.pk/federal-board-of-revenue-fbr-it-staff-jobs-2023_jobs-546276.html,"Latest Federal Board of Revenue FBR IT Posts Islamabad 2026Federal Board of Revenue FBR Islamabad, islamabad Islamabad Pakistan invites applications from eligible candidates for the post of Software Engineer Java, Devops Architect, Solution Architect, Ui Designer, Ux Designer and Software Engineer Dot net as per advertisement of May 2, 2023 published in daily Nawaiwaqt Newspaper. Candidates with Master, BCS, Bachelor, Others, MCS and MS etc. educational background will be preferred.Apply at Federal Board of Revenue FBR latest Government jobs in IT and departments before closing date which is around May 15, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Federal Board of Revenue FBR job opportunities.For more jobsregisterwithJobz.pk."
Dawn Sunday Classified Ads 30 April 2023 for IT Staff,It Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Bachelor|BCS|BIT|BS,,Not Specified,,False,,,,2023-05-01,2023-06-10,40.0,May,2023,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-30-april-2023-for-it-staff_jobs-546098.html,"Latest IT Company IT Posts Karachi 2026Vacant posts including web developer, network administrator and computer operator are announced in IT Company Karachi, karachi Sindh Pakistan as per 1 May 2023 advertisement in daily Dawn Newspaper. Bachelor, BIT and BCS etc. educational qualification will be preferred.IT Company latest Classifieds IT jobs and others can be applied till 10 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Web Development, Laravel, Oracle, Computer Support, PHP, Frontend Development and Oracle Database skills may beneficial for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredWeb DevelopmentFrontend DevelopmentLaravelPHPComputer SupportOracleOracle Database"
Jang Sunday Classified Ads 30 April 2023 for Computer Staff,It Company,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|BCS|BIT|BS,,Not Specified,,False,,,,2023-05-01,2023-06-10,40.0,May,2023,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-30-april-2023-for-computer-staff_jobs-545839.html,"Latest IT Company IT Posts Karachi 2026Vacant posts including web developer, computer expert, social media expert, it head, page maker, reporter and cad designer are announced in IT Company Karachi, karachi Sindh Pakistan as per 1 May 2023 advertisement in daily Jang Newspaper. Persons with BCS, Intermediate, BIT and Bachelor etc. education can apply.Latest Classifieds jobs in IT Company in IT and others can be applied till 10 June 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Skills in Network Monitoring, CAD/CAM, Drawing, Creo, Laravel, PHP, Facebook Marketing, Management, Software Development, Frontend Development, Mechanical Design, Shorthand, Video Editing, YouTube, AutoCAD, Database Development, Server and Front-end Design may be preferred for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredFrontend DevelopmentFront-end DesignPHPLaravelManagementSoftware DevelopmentDatabase DevelopmentNetwork MonitoringServerAutoCADCADDrawingMechanical DesignCreoShorthandYouTubeVideo EditingFacebook Marketing"
Creative Graphic Designer job at Private Sector,Private Sector,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Private,Full Time,Bachelor|BCS|BIT|BS,3.0,Not Specified,,False,,,,2023-04-30,2023-05-30,30.0,April,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/creative-graphic-designer-job-at-private-sector_jobs-545721.html,"Latest Private Sector IT Posts Karachi 2026Private Sector is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of April 30, 2023 for location Karachi, karachi Sindh Pakistan:creative graphic designerEducational qualifications required BCS, BIT and Bachelor etc.Private Sector latest Private IT jobs and others can be applied till May 30, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Sector job opportunities.For more jobsregisterwithJobz.pk."
IT Manager job at Garrison Officers Mess Rawalpindi,Garrison Officers Mess,Rawalpindi,Not Mentioned,"Rawalpindi, Punjab, Pakistan",Government,Full Time,Bachelor|BCS|BIT,2.0,Not Specified,,False,,,,2023-04-30,2023-05-05,5.0,April,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/it-manager-job-at-garrison-officers-mess-rawalpindi_jobs-545699.html,"Latest Garrison Officers Mess IT Posts Rawalpindi 2026Vacant posts including it manager are announced in Garrison Officers Mess Rawalpindi, rawalpindi Punjab Pakistan as per 30 April 2023 advertisement in daily Jang Newspaper. BCS, Bachelor and BIT etc. educational qualification will be preferred.Apply at Garrison Officers Mess latest Government jobs in IT and departments before closing date which is around May 5, 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Garrison Officers Mess job opportunities.This job is at Pakistan Army department in Rawalpindi.For more jobsregisterwithJobz.pk."
State Bank of Pakistan SBP IT Staff Jobs 2023,State Bank Of Pakistan Sbp,Karachi,Not Mentioned,"Karachi, Sindh, Pakistan",Government,Full Time,Bachelor|Master|Others|BS,2.0,Not Specified,,False,,,,2023-04-30,2023-05-15,15.0,April,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/state-bank-of-pakistan-sbp-it-staff-jobs-2023_jobs-545673.html,"Latest State Bank of Pakistan SBP IT Posts Karachi 2026Vacant posts including database administrator, it operations engineer and network security engineer are announced in State Bank of Pakistan SBP Karachi, karachi Sindh Pakistan as per 30 April 2023 advertisement in daily Jang Newspaper. Candidates with Bachelor, Others and Master etc. educational background will be preferred.Latest Government jobs in State Bank of Pakistan SBP in IT and others can be applied till 15 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest State Bank of Pakistan SBP job opportunities.For more jobsregisterwithJobz.pk."
Vacant Position at Private Company,Private Company,Hattar,Not Mentioned,"Hattar, Khyber Pakhtunkhwa KPK, Pakistan",Private,Full Time,BCS|MCS|MS|BS,5.0,Not Specified,,False,,,,2023-04-30,2023-05-10,10.0,April,2023,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/vacant-position-at-private-company_jobs-545593.html,"Latest Private Company IT Posts Hattar 2026Private Company Hattar, hattar Khyber Pakhtunkhwa KPK Pakistan invites applications from eligible candidates for the post of sap bi administrator as per advertisement of April 30, 2023 published in daily Jang Newspaper. Preferred Education is MCS, BCS and MS etc.Latest Private jobs in Private Company in IT and others can be applied till 10 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Proof Reader Jobs in Daily Express,Daily Express,Islamabad,Not Mentioned,"Islamabad, Islamabad, Pakistan",Private,Full Time,Bachelor|Master,2.0,Not Specified,,False,,,,2023-04-30,2023-05-07,7.0,April,2023,Sunday,Express Jobs,Upload CV,https://www.jobz.pk/proof-reader-jobs-in-daily-express_jobs-545544.html,"Latest Daily Express IT Posts Islamabad 2026Daily Express jobs advertisement dated about 30 April 2023 in daily Express Newspaper invites application for the vacant post of proof reader in Islamabad, islamabad Islamabad Pakistan. Educational qualifications required Bachelor and Master etc.Latest Private jobs in Daily Express in IT and others can be applied till 7 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Daily Express job opportunities.For more jobsregisterwithJobz.pk."
Database Administrator job at Teradata Pakistan,Teradata Pakistan,Islamabad,Not Mentioned,"Islamabad, Islamabad, Pakistan",Private,Full Time,Bachelor|Master,3.0,Not Specified,,False,,,,2023-04-28,2023-05-13,15.0,April,2023,Friday,Other Jobs,Upload CV,https://www.jobz.pk/database-administrator-job-at-teradata-pakistan_jobs-545400.html,"Latest Teradata Pakistan IT Posts Islamabad 2026Vacant posts including database administrator are announced in Teradata Pakistan Islamabad, islamabad Islamabad Pakistan as per 28 April 2023 advertisement in daily Other Newspaper. Persons with Bachelor and Master etc. education can apply.Latest IT jobs and others Private jobs in Teradata Pakistan closing date is around May 13, 2023, see exact from ad. Read complete ad online to know how to apply onlatest Teradata Pakistan job opportunities.For more jobsregisterwithJobz.pk."
Software Engineer job at ifancythat,Ifancythat,Lahore,Not Mentioned,"Lahore, Punjab, Pakistan",Private,Full Time,Bachelor|Master,3.0,Not Specified,,False,,,,2023-04-28,2023-05-13,15.0,April,2023,Friday,Other Jobs,Upload CV,https://www.jobz.pk/software-engineer-job-at-ifancythat_jobs-545392.html,"Latest ifancythat IT Posts Lahore 2026ifancythat jobs advertisement dated about 28 April 2023 in daily Other Newspaper invites application for the vacant post of software engineer in Lahore, lahore Punjab Pakistan. Persons with Bachelor and Master etc. education can apply.ifancythat latest Private IT jobs and others can be applied till 13 May 2023 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest ifancythat job opportunities.For more jobsregisterwithJobz.pk."
